site,sweet_mmbbl,sour_mmbbl,total_mmbbl,source_url
Bayou Choctaw,10.0,13.5,23.5,DOE RFP Section C planned release rows
Big Hill,0.0,47.0,47.0,DOE RFP Section C planned release rows
Bryan Mound,15.0,88.0,103.0,DOE RFP Section C planned release rows
West Hackberry,43.5,41.5,85.0,DOE RFP Section C planned release rows
