site,state,county_or_parish,nearby_city,address,latitude,longitude,distribution_system,authorized_capacity_mmbbl,current_sweet_mmbbl,current_sour_mmbbl,current_total_mmbbl,current_caverns,drawdown_capacity_mmbd,operational_year,acquired,primary_markets,sales_points,delivery_points,source_inventory_date,source_notes
Bayou Choctaw,LA,Iberville Parish,"12 miles southwest of Baton Rouge","60825 Highway 1148, Plaquemine, LA 70764",30.31608,-91.30814,Capline,76.0,2.7,36.5,39.2,6,0.5,1987,"April 1977","Baton Rouge area refineries; one New Orleans area refinery","Capline Terminal; LOCAP Terminal; DOE St. James Terminal","Redstick; Bourre; St. James Docks; St. James terminal",2026-06-25,"Inventory and cavern count from DOE SPR Quick Facts; capacity/location from DOE SPR Storage Sites; drawdown and sales points from 2026 SPR Distribution Brochure"
Big Hill,TX,Jefferson County,"26 miles southwest of Beaumont","24784 Big Hill Road, Winnie, TX 77665",29.78699,-94.35974,Texoma,170.0,27.5,61.6,89.1,14,1.1,1991,"November 1982 and July 1983","Beaumont-Port Arthur; Lake Charles; New Orleans; limited Houston","ET Terminal Nederland; Plains Terminal; local pipelines to B/PA refineries","Nederland Pipeline; P66 Beaumont; ET pipelines to Longview; Nederland docks",2026-06-25,"Inventory and cavern count from DOE SPR Quick Facts; capacity/location from DOE SPR Storage Sites; drawdown and sales points from 2026 SPR Distribution Brochure"
Bryan Mound,TX,Brazoria County,"3 miles southwest of Freeport","P.O. Box 2276, Freeport, TX 77541",28.93000,-95.39200,Seaway,247.1,66.2,89.2,155.4,19,1.5,1986,"April 1977","Houston; Texas City; Freeport","Seaway Terminal Freeport; Seaway Terminal Texas City; Seaway Pipeline","Freeport Docks; Texas City Docks; Pipeline to Texas City; local pipeline to Sweeny",2026-06-25,"Inventory and cavern count from DOE SPR Quick Facts; capacity/location from DOE SPR Storage Sites; drawdown and sales points from 2026 SPR Distribution Brochure"
West Hackberry,LA,Cameron Parish,"25 miles southwest of Lake Charles","1450 Black Lake Road, Hackberry, LA 70645",29.99370,-93.40286,Texoma,220.4,31.9,21.2,53.1,22,1.3,1988,"April 1977","Beaumont-Port Arthur; Lake Charles; New Orleans; limited Houston","ET Terminal Nederland; Lake Charles area connections; Zydeco to Houma","Nederland Pipeline; Nederland Docks; Lake Charles Meter Station; Calcasieu water connection",2026-06-25,"Inventory and cavern count from DOE SPR Quick Facts; capacity/location from DOE SPR Storage Sites; drawdown and sales points from 2026 SPR Distribution Brochure"
