date,week,tranche,status,site,volume_mmbbl,quality_bucket,quality_method,source_url,notes,month,month_label
2026-07-01,2026-07-01,FY26 SPR Oil Release No. 2,Solicited,Bryan Mound,9.0,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-07,Jul 2026
2026-07-01,2026-07-01,FY26 SPR Oil Release No. 2,Solicited,Bayou Choctaw,5.0,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-07,Jul 2026
2026-07-01,2026-07-01,FY26 SPR Oil Release No. 2,Solicited,West Hackberry,13.5,Sweet,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-07,Jul 2026
2026-07-01,2026-07-01,FY26 SPR Oil Release No. 3,Solicited,Bryan Mound,8.0,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/FY26%20SPR%20Oil%20Release%20No.%203/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%203%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-07,Jul 2026
2026-08-01,2026-08-01,FY26 SPR Oil Release No. 2,Solicited,Bryan Mound,15.0,Sweet,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-08,Aug 2026
2026-08-01,2026-08-01,FY26 SPR Oil Release No. 2,Solicited,Bayou Choctaw,3.5,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-08,Aug 2026
2026-08-01,2026-08-01,FY26 SPR Oil Release No. 2,Solicited,West Hackberry,7.5,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-08,Aug 2026
2026-08-01,2026-08-01,FY26 SPR Oil Release No. 2,Solicited,Big Hill,22.0,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-08,Aug 2026
2026-08-01,2026-08-01,FY26 SPR Oil Release No. 3,Solicited,Big Hill,11.0,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/FY26%20SPR%20Oil%20Release%20No.%203/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%203%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-08,Aug 2026
2026-09-01,2026-09-01,FY26 SPR Oil Release No. 3,Solicited,Bryan Mound,7.0,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/FY26%20SPR%20Oil%20Release%20No.%203/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%203%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-09,Sep 2026
2026-09-01,2026-09-01,FY26 SPR Oil Release No. 3,Solicited,Big Hill,14.0,Sour,RFP Section C site/stream planned allocation,https://www.spr.doe.gov/posting/EXCHANGE/FY26%20SPR%20Oil%20Release%20No.%203/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%203%20Request%20for%20Proposal.pdf,Planned outgoing exchange row parsed from DOE RFP Section C.,2026-09,Sep 2026
