date,air_passengers,rail_passengers,vmt,year,month
2023-07-01,88.3,605455302.0,287583.0,2023,7
2023-08-01,83.7,581431370.0,288849.0,2023,8
2023-09-01,82.1,541455396.0,273125.0,2023,9
2023-10-01,83.4,560624024.0,280549.0,2023,10
2023-11-01,81.7,540470296.0,260292.0,2023,11
2023-12-01,81.2,546229193.0,258680.0,2023,12
2024-01-01,78.4,439635174.0,246434.0,2024,1
2024-02-01,78.9,439686101.0,241014.0,2024,2
2024-03-01,84.1,564609985.0,274585.0,2024,3
2024-04-01,82.2,536799470.0,273208.0,2024,4
2024-05-01,84.9,583499606.0,292503.0,2024,5
2024-06-01,87.5,602324829.0,283075.0,2024,6
2024-07-01,87.7,628055860.0,291078.0,2024,7
2024-08-01,85.4,626221873.0,292116.0,2024,8
2024-09-01,82.0,547999418.0,272882.0,2024,9
2024-10-01,83.2,583218878.0,288163.0,2024,10
2024-11-01,80.5,547052186.0,261100.0,2024,11
2024-12-01,84.2,633887303.0,263007.0,2024,12
2025-01-01,78.9,493762438.0,251264.0,2025,1
2025-02-01,77.8,455130702.0,237616.0,2025,2
2025-03-01,81.1,592302406.0,277586.0,2025,3
2025-04-01,80.9,566442023.0,277365.0,2025,4
2025-05-01,82.7,617862131.0,293914.0,2025,5
2025-06-01,85.4,647977706.0,285629.0,2025,6
2025-07-01,86.0,665544594.0,295955.0,2025,7
2025-08-01,84.6,635398861.0,294681.0,2025,8
2025-09-01,81.2,564943671.0,278419.0,2025,9
2025-10-01,,,290104.0,2025,10
2025-11-01,,,261805.0,2025,11
