company,buyer,award_date,tranche,buyer_volume_mmbbl,site,quality_bucket,tranche_window_volume_mmbbl,delivery_period,window_delivery_start,window_delivery_end,planned_avg_bpd,delivery_window_basis,award_source_url,rfp_window_source_url
Trafigura Trading LLC,Trafigura Trading LLC,2026-03-20,FY26 SPR Oil Release No. 1,8.86,West Hackberry,Sour,34.0,April - May 2026,2026-04-01,2026-05-31,557377.049,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Vitol,Vitol Inc.,2026-03-20,FY26 SPR Oil Release No. 1,2.0,Bryan Mound,Sour,42.0,April - May 2026,2026-04-01,2026-05-31,688524.59,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Vitol,Vitol Inc.,2026-03-20,FY26 SPR Oil Release No. 1,2.0,Bayou Choctaw,Sweet,10.0,April - May 2026,2026-04-01,2026-05-31,163934.426,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Vitol,Vitol Inc.,2026-03-20,FY26 SPR Oil Release No. 1,2.0,West Hackberry,Sour,34.0,April - May 2026,2026-04-01,2026-05-31,557377.049,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Gunvor USA LLC,Gunvor USA LLC,2026-04-10,FY26 SPR Oil Release No. 1.a,1.1,Bryan Mound,Sour,2.0,Apr-26,2026-04-01,2026-04-30,66666.667,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf
Gunvor USA LLC,Gunvor USA LLC,2026-04-10,FY26 SPR Oil Release No. 1.a,1.1,Bryan Mound,Sour,8.0,May-26,2026-05-01,2026-05-31,258064.516,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf
Macquarie Commodities Trading US,Macquarie Commodities Trading US,2026-04-10,FY26 SPR Oil Release No. 1.a,2.0,Bryan Mound,Sour,2.0,Apr-26,2026-04-01,2026-04-30,66666.667,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf
Macquarie Commodities Trading US,Macquarie Commodities Trading US,2026-04-10,FY26 SPR Oil Release No. 1.a,2.0,Bryan Mound,Sour,8.0,May-26,2026-05-01,2026-05-31,258064.516,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf
Phillips 66,Phillips 66 Company,2026-04-10,FY26 SPR Oil Release No. 1.a,2.9,Bryan Mound,Sour,2.0,Apr-26,2026-04-01,2026-04-30,66666.667,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf
Phillips 66,Phillips 66 Company,2026-04-10,FY26 SPR Oil Release No. 1.a,2.9,Bryan Mound,Sour,8.0,May-26,2026-05-01,2026-05-31,258064.516,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf
Trafigura Trading LLC,Trafigura Trading LLC,2026-04-10,FY26 SPR Oil Release No. 1.a,2.48,Bryan Mound,Sour,2.0,Apr-26,2026-04-01,2026-04-30,66666.667,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf
Trafigura Trading LLC,Trafigura Trading LLC,2026-04-10,FY26 SPR Oil Release No. 1.a,2.48,Bryan Mound,Sour,8.0,May-26,2026-05-01,2026-05-31,258064.516,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Request%20for%20Proposal.pdf
Alon USA,Alon USA,2026-04-17,FY26 SPR Oil Release No. 1.b,1.0,West Hackberry,Sweet,10.0,May-26,2026-05-01,2026-05-31,322580.645,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Request%20for%20Proposal.pdf
Alon USA,Alon USA,2026-04-17,FY26 SPR Oil Release No. 1.b,1.0,West Hackberry,Sweet,20.0,Jun-26,2026-06-01,2026-06-30,666666.667,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Request%20for%20Proposal.pdf
BP Products North America,BP Products North America,2026-04-17,FY26 SPR Oil Release No. 1.b,1.0,West Hackberry,Sweet,10.0,May-26,2026-05-01,2026-05-31,322580.645,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Request%20for%20Proposal.pdf
BP Products North America,BP Products North America,2026-04-17,FY26 SPR Oil Release No. 1.b,1.0,West Hackberry,Sweet,20.0,Jun-26,2026-06-01,2026-06-30,666666.667,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Request%20for%20Proposal.pdf
Energy Transfer Crude Marketing,Energy Transfer Crude Marketing,2026-04-17,FY26 SPR Oil Release No. 1.b,1.1,West Hackberry,Sweet,10.0,May-26,2026-05-01,2026-05-31,322580.645,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Request%20for%20Proposal.pdf
Energy Transfer Crude Marketing,Energy Transfer Crude Marketing,2026-04-17,FY26 SPR Oil Release No. 1.b,1.1,West Hackberry,Sweet,20.0,Jun-26,2026-06-01,2026-06-30,666666.667,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Request%20for%20Proposal.pdf
ExxonMobil Oil Corporation,ExxonMobil Oil Corporation,2026-04-17,FY26 SPR Oil Release No. 1.b,3.0,West Hackberry,Sweet,10.0,May-26,2026-05-01,2026-05-31,322580.645,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Request%20for%20Proposal.pdf
