company,buyer,award_date,tranche,buyer_volume_mmbbl,site,quality_bucket,tranche_window_volume_mmbbl,delivery_period,window_delivery_start,window_delivery_end,planned_avg_bpd,delivery_window_basis,award_source_url,rfp_window_source_url
Marathon Petroleum Company,Marathon Petroleum Company LP,2026-03-20,FY26 SPR Oil Release No. 1,7.7,Bayou Choctaw,Sweet,10.0,April - May 2026,2026-04-01,2026-05-31,163934.426,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Marathon Petroleum Company,Marathon Petroleum Company LP,2026-03-20,FY26 SPR Oil Release No. 1,7.7,West Hackberry,Sour,34.0,April - May 2026,2026-04-01,2026-05-31,557377.049,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Mercuria Energy America,Mercuria Energy America LLC,2026-03-20,FY26 SPR Oil Release No. 1,2.0,Bryan Mound,Sour,42.0,April - May 2026,2026-04-01,2026-05-31,688524.59,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Mercuria Energy America,Mercuria Energy America LLC,2026-03-20,FY26 SPR Oil Release No. 1,2.0,Bayou Choctaw,Sweet,10.0,April - May 2026,2026-04-01,2026-05-31,163934.426,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Mercuria Energy America,Mercuria Energy America LLC,2026-03-20,FY26 SPR Oil Release No. 1,2.0,West Hackberry,Sour,34.0,April - May 2026,2026-04-01,2026-05-31,557377.049,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Shell Trading (US) Company,Shell Trading (US) Company,2026-03-20,FY26 SPR Oil Release No. 1,16.2,Bryan Mound,Sour,42.0,April - May 2026,2026-04-01,2026-05-31,688524.59,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Shell Trading (US) Company,Shell Trading (US) Company,2026-03-20,FY26 SPR Oil Release No. 1,16.2,Bayou Choctaw,Sweet,10.0,April - May 2026,2026-04-01,2026-05-31,163934.426,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Shell Trading (US) Company,Shell Trading (US) Company,2026-03-20,FY26 SPR Oil Release No. 1,16.2,West Hackberry,Sour,34.0,April - May 2026,2026-04-01,2026-05-31,557377.049,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Trafigura Trading LLC,Trafigura Trading LLC,2026-03-20,FY26 SPR Oil Release No. 1,8.86,Bryan Mound,Sour,42.0,April - May 2026,2026-04-01,2026-05-31,688524.59,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
Trafigura Trading LLC,Trafigura Trading LLC,2026-03-20,FY26 SPR Oil Release No. 1,8.86,Bayou Choctaw,Sweet,10.0,April - May 2026,2026-04-01,2026-05-31,163934.426,Tranche-level RFP delivery window; DOE award PDFs do not publish buyer-specific site/month/quality splits.,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Request%20for%20Proposal.pdf
