date,bdry,sblk,gogl,bdry_ma30
2021-08-02,26.549999237060547,10.760492324829102,,26.549999237060547
2021-08-03,26.6299991607666,10.76609992980957,,26.589999198913574
2021-08-04,27.190000534057617,10.631524085998535,,26.78999964396159
2021-08-05,26.729999542236328,10.990392684936523,,26.774999618530273
2021-08-06,26.600000381469727,10.861425399780273,,26.739999771118164
2021-08-09,26.420000076293945,10.216578483581543,,26.68666648864746
2021-08-10,27.010000228881836,10.810958862304688,,26.73285702296666
2021-08-11,27.770000457763672,11.237113952636719,,26.862499952316284
2021-08-12,28.25,11.377298355102539,,27.016666624281143
2021-08-13,27.969999313354492,11.483839988708496,,27.111999893188475
2021-08-16,28.780000686645508,11.747385025024414,,27.263636328957297
2021-08-17,29.209999084472656,11.70813274383545,,27.425833225250244
2021-08-18,29.600000381469727,12.010927200317383,,27.59307685265174
2021-08-19,29.270000457763672,11.472622871398926,,27.71285711015974
2021-08-20,29.979999542236328,11.791953086853027,,27.863999938964845
2021-08-23,30.329999923706055,12.67446231842041,,28.01812493801117
2021-08-24,30.3700008392334,12.662853240966797,,28.156470579259537
2021-08-25,29.399999618530273,12.819611549377441,,28.22555552588569
2021-08-26,30.739999771118164,12.987987518310547,,28.357894696687396
2021-08-27,30.0,13.783407211303711,,28.439999961853026
2021-08-30,29.940000534057617,13.858881950378418,,28.511428560529435
2021-08-31,28.329999923706055,13.394403457641602,,28.50318180431019
2021-09-01,27.729999542236328,13.452463150024414,,28.469565184220023
2021-09-02,28.260000228881836,13.911137580871582,,28.460833311080933
2021-09-03,27.360000610351562,13.864690780639648,,28.41680000305176
2021-09-07,26.899999618530273,13.922749519348145,,28.358461526724007
2021-09-08,27.670000076293945,13.2144193649292,,28.332962954485858
2021-09-09,29.350000381469727,13.835657119750977,,28.36928571973528
2021-09-10,30.1200008392334,13.702125549316406,,28.429655206614527
2021-09-13,30.829999923706055,14.027256965637207,,28.509666697184244
2021-09-14,29.8799991607666,13.713732719421387,,28.620666694641113
2021-09-15,30.200000762939453,14.288527488708496,,28.739666748046876
2021-09-16,30.649999618530273,14.19563102722168,,28.855000050862632
2021-09-17,30.729999542236328,13.318925857543945,,28.988333384195965
2021-09-20,28.899999618530273,11.716474533081055,,29.065000025431313
2021-09-21,30.899999618530273,11.757118225097656,,29.21433334350586
2021-09-22,30.739999771118164,12.273850440979004,,29.338666661580405
2021-09-23,31.860000610351562,12.552538871765137,,29.475
2021-09-24,32.47999954223633,13.202807426452637,,29.61599998474121
2021-09-27,34.349998474121094,13.57439136505127,,29.82866662343343
2021-09-28,36.56999969482422,13.760183334350586,,30.088333257039388
2021-09-29,35.68000030517578,13.400211334228516,,30.30399996439616
2021-09-30,36.0099983215332,13.9575834274292,,30.517666562398276
2021-10-01,36.900001525878906,14.671722412109375,,30.77199993133545
2021-10-04,37.77000045776367,13.586000442504883,,31.031666628519694
2021-10-05,41.25,14.358199119567871,,31.395666631062827
2021-10-06,41.5099983215332,14.323363304138184,,31.76699988047282
2021-10-07,38.84000015258789,13.760183334350586,,32.08166656494141
2021-10-08,39.22999954223633,13.324734687805176,,32.36466655731201
2021-10-11,40.959999084472656,13.493106842041016,,32.72999986012777
2021-10-12,37.630001068115234,13.092493057250977,,32.98633321126302
2021-10-13,36.88999938964844,12.871866226196289,,33.271666526794434
2021-10-14,37.279998779296875,12.587373733520508,,33.58999983469645
2021-10-15,35.29999923706055,12.813806533813477,,33.82466646830241
2021-10-18,37.290000915527344,13.284090042114258,,34.155666478474934
2021-10-19,38.47999954223633,13.324734687805176,,34.541666475931805
2021-10-20,37.310001373291016,13.481494903564453,,34.86299985249837
2021-10-21,34.56999969482422,12.802193641662598,,35.03699982961019
2021-10-22,32.20000076293945,12.529316902160645,,35.10633316040039
2021-10-25,30.610000610351562,12.99959945678711,,35.09899984995524
2021-10-26,27.760000228881836,12.157733917236328,,35.02833321889241
2021-10-27,29.479999542236328,11.623579978942871,,35.00433317820231
2021-10-28,30.3700008392334,11.983551025390625,,34.99499988555908
2021-10-29,30.040000915527344,12.01258373260498,,34.971999931335446
2021-11-01,26.399999618530273,11.98935604095459,,34.88866659800212
2021-11-02,22.8799991607666,11.176518440246582,,34.62133324940999
2021-11-03,20.81999969482422,11.321667671203613,,34.290666580200195
2021-11-04,23.06999969482422,11.193939208984375,,33.99766654968262
2021-11-05,23.049999237060547,11.193939208984375,,33.683333206176755
2021-11-08,25.15999984741211,11.339089393615723,,33.376999918619795
2021-11-09,24.219999313354492,11.263609886169434,,32.96533323923747
2021-11-10,22.700000762939453,10.76429557800293,,32.53266658782959
2021-11-11,21.940000534057617,11.147489547729492,,32.063666661580406
2021-11-12,22.6299991607666,11.130071640014648,,31.58799991607666
2021-11-15,21.670000076293945,11.072012901306152,,31.051333236694337
2021-11-16,19.649999618530273,10.56108283996582,,30.331333223978678
2021-11-17,20.450000762939453,10.845579147338867,,29.629333305358887
2021-11-18,22.229999542236328,11.153294563293457,,29.075666618347167
2021-11-19,24.790000915527344,10.961697578430176,,28.594333330790203
2021-11-22,24.889999389648438,11.07781982421875,,28.05866667429606
2021-11-23,23.389999389648438,11.054593086242676,,27.5839999516805
2021-11-24,25.200000762939453,12.186758041381836,,27.1943333307902
2021-11-26,24.729999542236328,12.163536071777344,,26.776000022888184
2021-11-29,26.959999084472656,12.67446231842041,,26.49800001780192
2021-11-30,26.649999618530273,12.198373794555664,,26.14333330790202
2021-12-01,27.790000915527344,11.490042686462402,,25.78700002034505
2021-12-02,28.719999313354492,12.326106071472168,,25.500666618347168
