YYYYMM,Country,Fuel,Value,source_url
201908,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201909,Albania,Diesel,2737.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201909,Albania,Petrol,429.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201909,Albania,LPG_LPGBlend,329.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201909,Albania,NonPluginHybrid,18.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201909,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201909,Albania,BatteryElectric,5.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201909,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201910,Albania,Diesel,3092.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201910,Albania,Petrol,527.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201910,Albania,LPG_LPGBlend,354.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201910,Albania,NonPluginHybrid,20.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201910,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201910,Albania,BatteryElectric,3.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201910,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201911,Albania,Diesel,2663.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201911,Albania,Petrol,408.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201911,Albania,LPG_LPGBlend,299.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201911,Albania,NonPluginHybrid,11.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201911,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201911,Albania,BatteryElectric,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201911,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201912,Albania,Diesel,4161.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201912,Albania,Petrol,814.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201912,Albania,LPG_LPGBlend,414.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201912,Albania,NonPluginHybrid,22.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201912,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201912,Albania,BatteryElectric,2.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
201912,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202001,Albania,Diesel,2798.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202001,Albania,Petrol,417.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202001,Albania,LPG_LPGBlend,398.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202001,Albania,NonPluginHybrid,14.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202001,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202001,Albania,BatteryElectric,59.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202001,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202002,Albania,Diesel,2559.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202002,Albania,Petrol,414.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202002,Albania,LPG_LPGBlend,329.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202002,Albania,NonPluginHybrid,19.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202002,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202002,Albania,BatteryElectric,82.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202002,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202003,Albania,Diesel,1211.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202003,Albania,Petrol,165.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202003,Albania,LPG_LPGBlend,144.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202003,Albania,NonPluginHybrid,7.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202003,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202003,Albania,BatteryElectric,7.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202003,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202004,Albania,Diesel,715.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202004,Albania,Petrol,171.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202004,Albania,LPG_LPGBlend,148.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202004,Albania,NonPluginHybrid,11.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202004,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202004,Albania,BatteryElectric,4.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202004,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202005,Albania,Diesel,1873.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202005,Albania,Petrol,331.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202005,Albania,LPG_LPGBlend,264.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202005,Albania,NonPluginHybrid,15.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202005,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202005,Albania,BatteryElectric,8.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202005,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202006,Albania,Diesel,3235.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202006,Albania,Petrol,578.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202006,Albania,LPG_LPGBlend,455.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202006,Albania,NonPluginHybrid,26.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202006,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202006,Albania,BatteryElectric,2.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202006,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202007,Albania,Diesel,3790.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202007,Albania,Petrol,565.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202007,Albania,LPG_LPGBlend,507.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202007,Albania,NonPluginHybrid,24.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202007,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202007,Albania,BatteryElectric,20.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202007,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202008,Albania,Diesel,3544.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202008,Albania,Petrol,541.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202008,Albania,LPG_LPGBlend,466.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202008,Albania,NonPluginHybrid,24.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202008,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202008,Albania,BatteryElectric,7.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202008,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202009,Albania,Diesel,3143.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202009,Albania,Petrol,510.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202009,Albania,LPG_LPGBlend,464.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202009,Albania,NonPluginHybrid,26.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202009,Albania,PluginHybrid,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202009,Albania,BatteryElectric,2.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202009,Albania,Others,0.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202010,Albania,Diesel,3442.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202010,Albania,Petrol,624.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202010,Albania,LPG_LPGBlend,546.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
202010,Albania,NonPluginHybrid,31.0,https://robbieandrew.github.io/carsales/data/all_carsales_monthly.csv
