date,retail_total,retail_food_services,retail_ecommerce,retail_building_materials,retail_general_merch,retail_total_mom,retail_total_yoy,year,month
2015-01-01,428208.0,49690.0,78568.0,26312.0,50448.0,,,2015,1
2015-02-01,427119.0,49525.0,,25376.0,49837.0,-0.25431565967940495,,2015,2
2015-03-01,433647.0,49966.0,,26305.0,55211.0,1.5283796787312287,,2015,3
2015-04-01,434470.0,50577.0,81165.0,26563.0,53063.0,0.18978570127314853,,2015,4
2015-05-01,437865.0,50710.0,,26619.0,58085.0,0.7814118351094468,,2015,5
2015-06-01,437951.0,50752.0,,26331.0,54919.0,0.019640756854277797,,2015,6
2015-07-01,441942.0,50989.0,84020.0,27215.0,55728.0,0.9112891624862174,,2015,7
2015-08-01,441849.0,51279.0,,27209.0,57317.0,-0.02104348534422984,,2015,8
2015-09-01,439867.0,51316.0,,27029.0,52333.0,-0.44856953393580534,,2015,9
2015-10-01,438693.0,51627.0,86662.0,27176.0,56356.0,-0.2668988580639131,,2015,10
2015-11-01,440303.0,51773.0,,27437.0,61276.0,0.3669992454860216,,2015,11
2015-12-01,442149.0,52598.0,,27988.0,74132.0,0.41925673910920835,,2015,12
2016-01-01,439466.0,51983.0,89559.0,27988.0,50387.0,-0.6068090168698803,2.629096140193554,2016,1
2016-02-01,443117.0,53088.0,,28041.0,52029.0,0.8307809932964094,3.74556037076319,2016,2
2016-03-01,441856.0,52858.0,,28714.0,56519.0,-0.28457495424458745,1.8930143642178932,2016,3
2016-04-01,444254.0,53142.0,92432.0,27785.0,54140.0,0.542710747392805,2.251939144244708,2016,4
2016-05-01,445490.0,53191.0,,27334.0,56961.0,0.27821921693444995,1.7414043141150914,2016,5
2016-06-01,450237.0,53124.0,,28143.0,55788.0,1.0655682506902409,2.805336670084091,2016,6
2016-07-01,449789.0,53244.0,95484.0,27843.0,56380.0,-0.09950315056292958,1.7755723601739604,2016,7
2016-08-01,449946.0,53653.0,,27655.0,56530.0,0.03490525557539037,1.8325264966085664,2016,8
2016-09-01,453056.0,54259.0,,27836.0,52201.0,0.6911940543976369,2.9984063364608016,2016,9
2016-10-01,453847.0,54210.0,98389.0,27853.0,56032.0,0.1745921034044251,3.4543519044069493,2016,10
2016-11-01,453892.0,55212.0,,28030.0,60786.0,0.009915235751245532,3.0862837636809193,2016,11
2016-12-01,459305.0,54191.0,,27950.0,73667.0,1.1925744450221654,3.8801399528213265,2016,12
2017-01-01,464412.0,56143.0,102558.0,28260.0,50920.0,1.111897323129507,5.676434581969936,2017,1
2017-02-01,464284.0,56129.0,,28684.0,50150.0,-0.027561733977587988,4.776842233541023,2017,2
2017-03-01,463674.0,56044.0,,28506.0,56029.0,-0.13138510049883756,4.937807792584015,2017,3
2017-04-01,465276.0,56142.0,106406.0,28835.0,55956.0,0.3455013651832983,4.7319776524240575,2017,4
2017-05-01,462754.0,56145.0,,28534.0,56727.0,-0.5420438621377421,3.8752833958113575,2017,5
2017-06-01,465130.0,56063.0,,28571.0,56994.0,0.5134477497763301,3.3078134404769033,2017,6
2017-07-01,465089.0,55976.0,109930.0,28732.0,56736.0,-0.00881473996516835,3.401594970085964,2017,7
2017-08-01,466020.0,56414.0,,28700.0,57794.0,0.20017674036583166,3.5724286914429637,2017,8
2017-09-01,475724.0,56703.0,,29783.0,54701.0,2.0823140637740822,5.003354993643172,2017,9
2017-10-01,476107.0,57108.0,115160.0,29325.0,56632.0,0.08050886648560684,4.904736618287653,2017,10
2017-11-01,480949.0,57725.0,,29817.0,62321.0,1.0169982797984423,5.961109691292199,2017,11
2017-12-01,483586.0,58041.0,,29848.0,75366.0,0.5482909830356153,5.286465420581088,2017,12
2018-01-01,481414.0,58212.0,119491.0,28805.0,51212.0,-0.449144516177058,3.660973445991922,2018,1
2018-02-01,484031.0,58524.0,,29754.0,50932.0,0.5436069578367064,4.253215704181068,2018,2
2018-03-01,484110.0,59023.0,,29427.0,59086.0,0.016321268679075907,4.407406928143476,2018,3
2018-04-01,484154.0,58255.0,123042.0,29637.0,53726.0,0.009088843444682304,4.057376696842296,2018,4
2018-05-01,491960.0,59620.0,,30464.0,60130.0,1.6122969137918997,6.311344688538623,2018,5
2018-06-01,490228.0,60220.0,,30962.0,57950.0,-0.3520611431823695,5.3959108206308,2018,6
2018-07-01,493142.0,61072.0,125807.0,31095.0,57209.0,0.5944172915459678,6.031748762064892,2018,7
2018-08-01,493445.0,61414.0,,30714.0,59700.0,0.06144274874173572,5.884940560490959,2018,8
2018-09-01,491507.0,60069.0,,30883.0,54683.0,-0.3927489385848526,3.31767999932735,2018,9
2018-10-01,496416.0,60522.0,129353.0,31386.0,57479.0,0.9987650226751521,4.265637766300423,2018,10
2018-11-01,498854.0,60242.0,,30743.0,65467.0,0.4911203506736239,3.722847952693531,2018,11
