date,hyg,lqd,tlt,shy,jnk,hyg_lqd_ratio
2021-08-25,66.40704345703125,110.52909851074219,124.42021179199219,74.77035522460938,80.22898864746094,0.6008105046706522
2021-08-26,66.36917877197266,110.49624633789062,124.76480102539062,74.77035522460938,80.15576934814453,0.6006464560707325
2021-08-27,66.55076599121094,111.11185455322266,125.61367797851562,74.82241821289062,80.41929626464844,0.5989528863397116
2021-08-30,66.63401794433594,111.30059814453125,125.94140625,74.83977508544922,80.50715637207031,0.5986851738011976
2021-08-31,66.64913940429688,111.04619598388672,125.08416748046875,74.83110809326172,80.52178955078125,0.6001929090301117
2021-09-01,66.70606994628906,111.18925476074219,125.293701171875,74.82503509521484,80.60626220703125,0.599932701139401
2021-09-02,66.78953552246094,111.38656616210938,125.84070587158203,74.82503509521484,80.70906829833984,0.5996193062030212
2021-09-03,66.79712677001953,110.98368835449219,124.6961898803711,74.82503509521484,80.73110961914062,0.6018643618750831
2021-09-07,66.62256622314453,110.45751190185547,123.6443099975586,74.79898071289062,80.51810455322266,0.6031510675556454
2021-09-08,66.69845581054688,110.8110580444336,124.48583984375,74.81634521484375,80.60626220703125,0.6019115509555173
2021-09-09,66.7591781616211,111.53455352783203,125.99215698242188,74.83367919921875,80.66502380371094,0.59855153447996
2021-09-10,66.66048431396484,111.21392059326172,124.88134765625,74.80767059326172,80.58422088623047,0.5993897522753433
2021-09-13,66.82749938964844,111.48523712158203,125.63868713378906,74.82503509521484,80.77517700195312,0.5994291362251724
2021-09-14,66.79712677001953,111.82225036621094,127.1618423461914,74.83367919921875,80.68704223632812,0.5973509435846899
2021-09-15,66.89580535888672,111.6907730102539,126.7158432006836,74.83367919921875,80.87804412841797,0.5989376163843477
2021-09-16,66.87303924560547,111.53455352783203,126.13519287109375,74.80767059326172,80.8486557006836,0.5995723937597343
2021-09-17,66.78953552246094,111.28787231445312,125.52935791015625,74.79031372070312,80.7605209350586,0.6001510688760547
2021-09-20,66.55426788330078,111.6332015991211,127.086181640625,74.80767059326172,80.48872375488281,0.5961870387118304
2021-09-21,66.6680908203125,111.6249771118164,126.97676849365234,74.82503509521484,80.62096405029297,0.5972506561280643
2021-09-22,66.78953552246094,111.93740844726562,127.73409271240234,74.78163146972656,80.7531509399414,0.5966685887133601
2021-09-23,66.81988525390625,111.16459655761719,124.84770965576172,74.73821258544922,80.76786041259766,0.6010896213640569
2021-09-24,66.72122955322266,110.9261245727539,123.62752532958984,74.71221923828125,80.67972564697266,0.6014924780813173
2021-09-27,66.66048431396484,110.86859130859375,123.1730728149414,74.70355987548828,80.61360931396484,0.6012567087500984
2021-09-28,66.35694122314453,109.68467712402344,121.25434875488281,74.71221923828125,80.26103210449219,0.6049791362207589
2021-09-29,66.4783706665039,109.65998840332031,121.46475982666016,74.73821258544922,80.42263793945312,0.6062226673050702
2021-09-30,66.40248107910156,109.37218475341797,121.44800567626953,74.75562286376953,80.32714080810547,0.6071240254440143
2021-10-01,66.5616226196289,110.16716766357422,122.47000122070312,74.79119873046875,80.49522399902344,0.6041874728312263
2021-10-04,66.3255386352539,109.98591613769531,122.15827941894531,74.75648498535156,80.22248840332031,0.6030366520038674
2021-10-05,66.29510498046875,109.53286743164062,120.97860717773438,74.74778747558594,80.1561279296875,0.605253076405066
2021-10-06,66.25704193115234,109.56584930419922,121.66116333007812,74.7391357421875,80.11190032958984,0.6047234822886822
2021-10-07,66.26461029052734,109.079833984375,120.3887939453125,74.71307373046875,80.08240509033203,0.607487267536723
2021-10-08,66.06665802001953,108.57730865478516,119.54631042480469,74.68702697753906,79.94235229492188,0.6084757380575198
2021-10-11,65.86103057861328,108.37137603759766,119.24290466308594,74.62628936767578,79.66223907470703,0.6077345604227069
2021-10-12,65.98291015625,109.06332397460938,121.28197479248047,74.66101837158203,79.80966186523438,0.6049963246270693
2021-10-13,66.15800476074219,109.61524963378906,122.46156311035156,74.63500213623047,79.99395751953125,0.6035474533130004
2021-10-14,66.53116607666016,110.13420104980469,122.91658020019531,74.63500213623047,80.43622589111328,0.6040917847724119
2021-10-15,66.41694641113281,109.73880767822266,122.20043182373047,74.59159851074219,80.27409362792969,0.6052275199296981
2021-10-18,66.386474609375,109.64820861816406,122.77337646484375,74.5395278930664,80.23717498779297,0.6054496963152171
2021-10-19,66.43217468261719,109.04685974121094,121.07974243164062,74.5655288696289,80.29619598388672,0.6092075905741205
2021-10-20,66.45498657226562,108.78327178955078,120.26244354248047,74.59159851074219,80.35515594482422,0.6108934349835301
2021-10-21,66.28746795654297,108.5526123046875,120.11923217773438,74.50476837158203,80.14139556884766,0.6106482980850435
2021-10-22,66.1275863647461,108.98918914794922,121.44202423095703,74.48744201660156,79.96446990966797,0.6067352815606334
2021-10-25,66.24179077148438,109.03861999511719,121.25666809082031,74.52217102050781,80.08978271484375,0.607507603952166
2021-10-26,66.25704193115234,109.50817108154297,122.25933837890625,74.50476837158203,80.11190032958984,0.6050419916319799
2021-10-27,66.20372009277344,110.17540740966797,124.48379516601562,74.48744201660156,80.02347564697266,0.6008938078768022
2021-10-28,66.37124633789062,110.0106201171875,124.06255340576172,74.49609375,80.2150650024414,0.6033167185785285
2021-10-29,66.19610595703125,109.9529800415039,124.44166564941406,74.50476837158203,80.06766510009766,0.6020401259888021
2021-11-01,66.12504577636719,109.75651550292969,123.54571533203125,74.47096252441406,79.97074890136719,0.6024703451395752
2021-11-02,66.2854995727539,110.17745971679688,124.09407043457031,74.54905700683594,80.10391235351562,0.6016248672199918
