date,dxy,dxy_high,dxy_low,dxy_ma50,dxy_ma200
2021-01-20,90.47000122070312,90.69999694824219,90.27999877929688,90.47000122070312,90.47000122070312
2021-01-21,90.12999725341797,90.44999694824219,90.05000305175781,90.29999923706055,90.29999923706055
2021-01-22,90.23999786376953,90.30999755859375,90.05000305175781,90.27999877929688,90.27999877929688
2021-01-25,90.38999938964844,90.5199966430664,90.08000183105469,90.30749893188477,90.30749893188477
2021-01-26,90.16999816894531,90.61000061035156,90.12000274658203,90.27999877929688,90.27999877929688
2021-01-27,90.6500015258789,90.87999725341797,90.1500015258789,90.34166590372722,90.34166590372722
2021-01-28,90.45999908447266,90.86000061035156,90.41000366210938,90.3585706438337,90.3585706438337
2021-01-29,90.58000183105469,90.77999877929688,90.36000061035156,90.38624954223633,90.38624954223633
2021-02-01,91.0199966430664,91.05999755859375,90.5,90.45666588677301,90.45666588677301
2021-02-02,91.19999694824219,91.29000091552734,90.80000305175781,90.53099899291992,90.53099899291992
2021-02-03,91.12000274658203,91.30999755859375,90.98999786376953,90.58454478870739,90.58454478870739
2021-02-04,91.52999877929688,91.58000183105469,91.08999633789062,90.66333262125652,90.66333262125652
2021-02-05,91.04000091552734,91.5999984741211,90.9800033569336,90.69230710543118,90.69230710543118
2021-02-08,90.93000030517578,91.23999786376953,90.9000015258789,90.70928519112724,90.70928519112724
2021-02-09,90.44000244140625,90.93000030517578,90.43000030517578,90.6913330078125,90.6913330078125
2021-02-10,90.37000274658203,90.52999877929688,90.25,90.6712498664856,90.6712498664856
2021-02-11,90.41999816894531,90.47000122070312,90.26000213623047,90.65647035486558,90.65647035486558
2021-02-12,90.4800033569336,90.73999786376953,90.37999725341797,90.64666663275824,90.64666663275824
2021-02-16,90.51000213623047,90.63999938964844,90.12000274658203,90.63947376451995,90.63947376451995
2021-02-17,90.94999694824219,91.05999755859375,90.62000274658203,90.65499992370606,90.65499992370606
2021-02-18,90.58999633789062,90.9800033569336,90.54000091552734,90.6519045148577,90.6519045148577
2021-02-19,90.36000061035156,90.6500015258789,90.18000030517578,90.63863615556197,90.63863615556197
2021-02-22,90.01000213623047,90.58000183105469,90.0,90.61130424167798,90.61130424167798
2021-02-23,90.16999816894531,90.26000213623047,89.94000244140625,90.59291648864746,90.59291648864746
2021-02-24,90.18000030517578,90.43000030517578,89.9800033569336,90.5763998413086,90.5763998413086
2021-02-25,90.12999725341797,90.29000091552734,89.68000030517578,90.55923051100511,90.55923051100511
2021-02-26,90.93000030517578,90.97000122070312,90.12999725341797,90.57296272560403,90.57296272560403
2021-03-01,91.04000091552734,91.13999938964844,90.69000244140625,90.58964266095843,90.58964266095843
2021-03-02,90.79000091552734,91.38999938964844,90.7300033569336,90.59655156628838,90.59655156628838
2021-03-03,90.94999694824219,91.05999755859375,90.62999725341797,90.60833307902018,90.60833307902018
2021-03-04,91.62999725341797,91.66999816894531,90.97000122070312,90.64128998787173,90.64128998787173
2021-03-05,91.9800033569336,92.19000244140625,91.62000274658203,90.68312478065491,90.68312478065491
2021-03-08,92.30999755859375,92.41999816894531,91.83999633789062,90.73242395574397,90.73242395574397
2021-03-09,91.95999908447266,92.5,91.91000366210938,90.76852910658893,90.76852910658893
2021-03-10,91.79000091552734,92.23999786376953,91.7699966430664,90.79771401541574,90.79771401541574
2021-03-11,91.41999816894531,91.87999725341797,91.37000274658203,90.81499968634711,90.81499968634711
2021-03-12,91.68000030517578,91.95999908447266,91.4000015258789,90.83837808145059,90.83837808145059
2021-03-15,91.83000183105469,91.97000122070312,91.54000091552734,90.86447344328228,90.86447344328228
