date,cpi_all,cpi_core,cpi_food,cpi_energy,cpi_shelter,cpi_medical,cpi_transportation,cpi_apparel,core_pce,cpi_all_yoy,cpi_core_yoy,cpi_food_yoy,cpi_energy_yoy,cpi_shelter_yoy,cpi_medical_yoy,cpi_transportation_yoy,cpi_apparel_yoy,core_pce_yoy,year,month
2017-08-01,245.183,252.535,250.469,201.45,298.904,477.199,199.59,125.39,100.118,1.92812155729698,1.6552412618799472,1.0991095719002475,6.716038395524748,3.2958146575110314,1.7438488763805493,2.772843129682556,-0.6008815042648274,1.433593710424197,2017,8
2017-09-01,246.435,252.812,250.826,212.723,299.711,477.19,204.503,125.759,100.24,2.1805652303711787,1.5953898457655935,1.2325847956992764,10.653183731007122,3.2172855917814935,1.5695506325880793,4.465115803884312,-0.1230998935781602,1.4225873687192525,2017,9
2017-10-01,246.626,253.526,251.048,208.328,300.814,477.671,203.282,125.961,100.486,2.020757753132485,1.7596390813271245,1.3058286120123386,6.301185331081394,3.2384050957862343,1.6864325416339199,3.10979908800868,-0.44261426956789807,1.5410111053849596,2017,10
2017-11-01,247.284,253.816,251.195,213.047,301.43,477.791,205.698,125.024,100.535,2.172493864295566,1.7376072726981162,1.39419797288296,8.49153647159473,3.1492640994843057,1.6762641674859635,4.2400839199112195,-1.248765846530553,1.5453764961365524,2017,11
2017-12-01,247.805,254.344,251.716,213.574,302.428,478.891,206.332,124.234,100.683,2.129930719552253,1.770166453265043,1.6110606519325943,7.0476610546681195,3.194502262289056,1.7749857078796838,3.6084079017404402,-1.546142568451092,1.5768765133171936,2017,12
2018-01-01,248.859,255.204,252.377,216.855,303.213,480.797,208.964,124.855,101.007,2.151318868063945,1.8912671130328462,1.7382540866305307,5.592859681840978,3.2147707892936417,1.9752526066632248,3.405548242792533,-0.9433213798356044,1.6320370277204788,2018,1
2018-02-01,249.529,255.711,252.264,220.141,303.784,481.6,210.466,125.839,101.198,2.263468931091861,1.87770420481439,1.4187790218505691,7.8419461821459535,3.1374026882322825,1.7882694092011153,4.4154272049849785,-0.17372955306288462,1.6442181175359671,2018,2
2018-03-01,249.577,256.271,252.365,215.72,304.812,483.078,208.649,126.489,101.419,2.3309497646499366,2.1227843662331214,1.2521866123156533,6.513667246010435,3.3218987702195113,1.9829633617277187,3.7203290830909896,0.0727865376551673,1.909183171052753,2018,3
2018-04-01,250.227,256.63,252.867,219.165,305.72,483.577,209.542,127.326,101.602,2.4709963021052994,2.150644636125887,1.3133591624630903,7.987524266582557,3.3742362404942217,2.2346392336688448,4.299565961852436,0.8115533527050411,1.8842192874261698,2018,4
2018-05-01,250.792,257.145,252.864,221.045,306.808,484.543,210.576,127.464,101.78,2.781921607842497,2.272998448872432,1.1569295761125309,11.386300762412493,3.4901724004169132,2.4444956562737152,6.017933471954406,1.4428854525630586,1.9809023776840462,2018,5
2018-06-01,251.018,257.399,253.167,220.947,307.183,486.209,210.83,126.384,101.872,2.8075506935940187,2.245517307127032,1.3600512471473758,11.697706867265234,3.3538011204010676,2.4693777766537695,6.4464662580404175,0.6979634764317844,1.9362198184856405,2018,6
2018-07-01,251.214,257.699,253.598,219.929,308.05,485.246,210.467,125.676,102.006,2.854124785561929,2.267595293370639,1.3641904990307152,12.212108533934707,3.4849971109528477,1.8827200023515678,6.888671071542851,0.24567672771360627,1.9958004199579937,2018,7
2018-08-01,251.663,257.891,253.949,222.781,309.004,484.273,211.843,123.451,102.016,2.6429238568742575,2.1208941334864617,1.3893934977981415,10.58873169520973,3.3790113213607142,1.4824004241417166,6.139085124505228,-1.546375309035819,1.8957629996604108,2018,8
2018-09-01,252.182,258.368,254.302,223.955,309.522,485.039,212.734,125.143,102.205,2.332055105808828,2.1976804898501623,1.3858212466012265,5.280106053412181,3.2734867922765476,1.6448374861166348,4.024879830613748,-0.489825777876729,1.9602952913008842,2018,9
2018-10-01,252.772,258.917,254.17,226.022,310.401,485.652,213.82,126.021,102.366,2.492032470218053,2.126409125691242,1.2435868837831654,8.493337429438185,3.1870192211798543,1.6708152682494815,5.18393168111293,0.047633791411638704,1.8709073900841755,2018,10
2018-11-01,252.594,259.439,254.887,218.5,311.247,487.615,211.019,125.099,102.556,2.147328577667773,2.2153843729315836,1.4697744779951893,2.5595291179880464,3.25680920943503,2.0561291443329743,2.5868020107147283,0.05998848221142605,2.0102451882429095,2018,11
2018-12-01,252.767,260.063,255.877,213.63,312.132,488.82,208.595,124.356,102.735,2.0023809043401064,2.2485295505299874,1.6530534411797415,0.02622042008857406,3.208697607364397,2.073331927307054,1.0967760696353412,0.09820178051096473,2.0380799141860972,2018,12
2019-01-01,252.561,260.766,256.533,204.34,312.998,489.968,205.719,124.466,102.87,1.4875893578291333,2.1794329242488475,1.6467427697452575,-5.771137395955817,3.2271043787700293,1.907457825236003,-1.5528990639536056,-0.31156141123703796,1.844426623897344,2019,1
2019-02-01,253.319,261.186,257.253,208.144,314.072,490.16,207.495,124.526,102.963,1.5188615351321877,2.1410889637129227,1.977690039006741,-5.449689062918761,3.386616806678444,1.7774086378737453,-1.4116294318322176,-1.043396721207257,1.7441056147354805,2019,2
2019-03-01,254.277,261.567,257.681,214.934,315.051,491.412,210.097,123.666,103.058,1.8831863513063984,2.06656235001228,2.106472767618328,-0.3643612089745951,3.3591197196960687,1.7251872368437393,0.6939884686722797,-2.231814624196571,1.61606799514884,2019,3
2019-04-01,255.233,261.997,257.325,222.42,316.172,492.97,213.037,123.901,103.265,2.000583470209061,2.0913377235709074,1.7629821210359609,1.4851823968243139,3.4188146015962317,1.9424000727908952,1.6679233757432854,-2.689945494243118,1.6367788035668518,2019,4
2019-05-01,255.296,262.217,257.818,220.523,317.03,494.859,211.761,123.764,103.371,1.7959105553606136,1.97242800754438,1.9591559098962152,-0.23615100997533833,3.3317253787384926,2.1290164134039724,0.5627421928424914,-2.9027803928952545,1.563175476517964,2019,5
2019-06-01,255.213,262.739,257.952,214.926,317.949,495.745,209.25,124.75,103.56,1.671194894390049,2.0746001344216447,1.8900567609522634,-2.7250879170117814,3.504751239489168,1.9612964794974985,-0.7494189631456649,-1.2928851753386539,1.6569813098790576,2019,6
2019-07-01,255.802,263.28,258.059,216.696,318.777,497.714,209.934,124.731,103.678,1.826331335037068,2.1657049503490455,1.7590832735274065,-1.4700198700489775,3.4822269112157134,2.5694183980908614,-0.25324635215973057,-0.7519335433973096,1.6391192674940713,2019,7
2019-08-01,256.036,263.877,258.288,213.847,319.37,500.662,209.27,124.532,103.797,1.7376412106666406,2.321135673598529,1.7086107840550646,-4.010216311085779,3.3546491307555826,3.38424814102789,-1.2145787210339654,0.8756510680350882,1.745804579673771,2019,8
2019-09-01,256.43,264.388,258.865,213.015,320.436,501.71,209.085,124.795,103.873,1.6844977040391562,2.3300099083477743,1.794323284913224,-4.884909914938285,3.52608215248027,3.437043206834911,-1.7152876362029557,-0.27808187433575604,1.6320140893302693,2019,9
2019-10-01,257.155,264.97,259.434,215.268,320.862,506.433,210.25,123.489,104.028,1.7339736996186295,2.3378148209658223,2.0710548058386236,-4.757943916963836,3.3701566683097095,4.278989893998175,-1.669628659620237,-2.0091889446996913,1.6235859562745425,2019,10
2019-11-01,257.879,265.548,260.048,217.488,321.611,508.315,211.286,123.55,104.092,2.092290394862917,2.3546960942649298,2.0248188412904655,-0.4631578947368431,3.329831291546581,4.245152425581655,0.1265288907633888,-1.2382193302904132,1.4977183197472543,2019,11
2019-12-01,258.63,266.02,260.483,221.18,322.247,510.875,213.354,122.859,104.322,2.3195274699624457,2.2905988164406255,1.8000836339334914,3.534147825679912,3.2406161495777352,4.511885765721524,2.2814544931565983,-1.2038019878413575,1.544751058548699,2019,12
2020-01-01,259.127,266.716,261.293,220.147,323.487,511.854,213.14,122.477,104.507,2.599767976845202,2.2817391837892886,1.8555117665173704,7.735636683958114,3.3511396238953717,4.46682232309048,3.607347887166479,-1.5980267703629814,1.5913288616700605,2020,1
