date,umich_sentiment,umich_expectations,conf_board,year,month
2024-04-01,77.2,3.2,,2024,4
2024-05-01,69.1,3.3,,2024,5
2024-06-01,68.2,3.0,,2024,6
2024-07-01,66.4,2.9,,2024,7
2024-08-01,67.9,2.8,,2024,8
2024-09-01,70.1,2.7,,2024,9
2024-10-01,70.5,2.7,,2024,10
2024-11-01,71.8,2.6,,2024,11
2024-12-01,74.0,2.8,,2024,12
2025-01-01,71.7,3.3,,2025,1
2025-02-01,64.7,4.3,,2025,2
2025-03-01,57.0,5.0,,2025,3
2025-04-01,52.2,6.5,,2025,4
2025-05-01,52.2,6.6,,2025,5
2025-06-01,60.7,5.0,,2025,6
2025-07-01,61.7,4.5,,2025,7
2025-08-01,58.2,4.8,,2025,8
2025-09-01,55.1,4.7,,2025,9
2025-10-01,53.6,4.6,,2025,10
2025-11-01,51.0,4.5,,2025,11
