date,ppi_final_demand,ppi_core,ppi_energy,ppi_final_demand_yoy,ppi_core_yoy,ppi_energy_yoy,year,month
2015-01-01,110.1,108.9,203.5,,,,2015,1
2015-02-01,109.6,108.5,203.4,,,,2015,2
2015-03-01,109.8,108.6,203.7,,,,2015,3
2015-04-01,109.6,108.6,202.1,,,,2015,4
2015-05-01,110.0,108.7,206.5,,,,2015,5
2015-06-01,110.3,109.0,208.6,,,,2015,6
2015-07-01,110.5,109.2,207.8,,,,2015,7
2015-08-01,110.3,109.2,206.5,,,,2015,8
2015-09-01,109.9,109.1,203.2,,,,2015,9
2015-10-01,109.6,108.9,202.5,,,,2015,10
2015-11-01,109.7,109.0,202.7,,,,2015,11
2015-12-01,109.6,109.2,200.6,,,,2015,12
2016-01-01,110.0,109.8,,-0.09082652134422275,0.8264462809917328,,2016,1
2016-02-01,109.7,109.8,,0.09124087591241281,1.1981566820276512,,2016,2
2016-03-01,109.7,109.7,,-0.09107468123861207,1.0128913443830712,,2016,3
2016-04-01,109.9,109.9,,0.27372262773723843,1.1970534069981609,,2016,4
2016-05-01,110.1,109.9,,0.09090909090907484,1.1039558417663242,,2016,5
2016-06-01,110.6,110.3,,0.27198549410698547,1.192660550458724,,2016,6
2016-07-01,110.5,110.2,,0.0,0.9157509157509125,,2016,7
2016-08-01,110.3,110.2,,0.0,0.9157509157509125,,2016,8
2016-09-01,110.6,110.4,,0.6369426751592355,1.1915673693859041,,2016,9
2016-10-01,110.9,110.5,,1.1861313868613221,1.4692378328741817,,2016,10
2016-11-01,111.1,110.8,,1.2762078395624377,1.6513761467889854,,2016,11
2016-12-01,111.4,110.9,,1.642335766423364,1.5567765567765512,,2016,12
2017-01-01,111.9,111.3,,1.7272727272727328,1.3661202185792254,,2017,1
2017-02-01,111.9,111.2,,2.0054694621695512,1.2750455373406355,,2017,2
2017-03-01,112.1,111.4,,2.1877848678213185,1.5496809480401108,,2017,3
2017-04-01,112.6,111.9,,2.456778889899902,1.8198362147406666,,2017,4
2017-05-01,112.5,112.2,,2.1798365122615904,2.0928116469517644,,2017,5
2017-06-01,112.6,112.3,,1.8083182640144635,1.8132366273798661,,2017,6
2017-07-01,112.7,112.4,,1.9909502262443368,1.9963702359346636,,2017,7
2017-08-01,113.1,112.6,,2.5385312783318126,2.177858439201441,,2017,8
2017-09-01,113.5,112.7,,2.622061482820981,2.083333333333326,,2017,9
2017-10-01,113.9,113.2,,2.705139765554554,2.443438914027163,,2017,10
2017-11-01,114.3,113.4,,2.880288028802891,2.3465703971119245,,2017,11
2017-12-01,114.4,113.4,,2.6929982046678624,2.254283137962121,,2017,12
