date,mfg_employment,industrial_prod_mfg,capacity_util_mfg,durable_goods_orders,new_orders,industrial_prod,year,month
2020-06-01,11950.0,89.9764,70.5106,202777.0,59891.0,91.5934,2020,6
2020-07-01,11973.0,93.2857,73.1726,223750.0,61194.0,95.0256,2020,7
2020-08-01,11999.0,94.6243,74.2964,226872.0,62016.0,95.9549,2020,8
2020-09-01,12057.0,94.5995,74.3524,230481.0,63564.0,95.9669,2020,9
2020-10-01,12086.0,95.5707,75.1925,236338.0,64014.0,96.7394,2020,10
2020-11-01,12118.0,96.0944,75.6805,237115.0,64376.0,97.0816,2020,11
2020-12-01,12153.0,96.8555,76.354,241814.0,65513.0,98.363,2020,12
2021-01-01,12145.0,97.7998,77.1699,249937.0,67186.0,98.8822,2021,1
2021-02-01,12179.0,93.7406,74.0286,251426.0,67538.0,95.6149,2021,2
2021-03-01,12232.0,96.6782,76.4058,253805.0,68846.0,98.3856,2021,3
2021-04-01,12191.0,96.8939,76.6281,252613.0,70459.0,98.5587,2021,4
2021-05-01,12219.0,97.9551,77.5117,253009.0,68635.0,99.4333,2021,5
2021-06-01,12249.0,97.9706,77.5594,258284.0,70341.0,99.7987,2021,6
2021-07-01,12303.0,98.8487,78.2805,259416.0,70638.0,100.2519,2021,7
2021-08-01,12349.0,98.2683,77.8379,264287.0,71394.0,100.0437,2021,8
2021-09-01,12391.0,97.0654,76.894,259192.0,71387.0,98.8579,2021,9
2021-10-01,12454.0,98.4333,77.9803,263534.0,72200.0,100.1861,2021,10
2021-11-01,12498.0,99.0146,78.439,268650.0,72662.0,100.8654,2021,11
2021-12-01,12532.0,98.897,78.3404,277487.0,73257.0,100.5726,2021,12
2022-01-01,12560.0,97.9535,77.585,280925.0,75242.0,100.1856,2022,1
2022-02-01,12608.0,98.5223,78.0262,277036.0,75311.0,100.8064,2022,2
2022-03-01,12676.0,98.9704,78.3705,277554.0,76146.0,101.3907,2022,3
2022-04-01,12725.0,98.9204,78.3191,279157.0,75944.0,101.44,2022,4
2022-05-01,12739.0,98.4799,77.9575,278740.0,76640.0,101.3335,2022,5
2022-06-01,12768.0,97.9383,77.515,284763.0,77118.0,101.018,2022,6
2022-07-01,12800.0,98.0214,77.5659,284460.0,77167.0,101.223,2022,7
2022-08-01,12826.0,98.0019,77.5335,282368.0,78114.0,101.0963,2022,8
2022-09-01,12848.0,97.9936,77.5079,282430.0,76945.0,101.2918,2022,9
2022-10-01,12883.0,98.239,77.6805,287071.0,77151.0,101.2529,2022,10
2022-11-01,12896.0,97.4555,77.0373,279095.0,76483.0,100.9552,2022,11
2022-12-01,12889.0,95.7545,75.6673,293358.0,76113.0,99.7664,2022,12
2023-01-01,12897.0,97.4332,76.9659,288874.0,75395.0,100.505,2023,1
2023-02-01,12900.0,97.4821,76.9753,280693.0,74193.0,100.6416,2023,2
2023-03-01,12890.0,96.8552,76.4495,289270.0,73852.0,101.0205,2023,3
2023-04-01,12889.0,97.7738,77.1414,290168.0,74424.0,101.253,2023,4
2023-05-01,12874.0,97.5956,76.9659,289707.0,75363.0,100.9286,2023,5
2023-06-01,12877.0,96.9217,76.398,303971.0,74769.0,100.1196,2023,6
2023-07-01,12863.0,97.3075,76.664,293278.0,75140.0,100.9067,2023,7
2023-08-01,12856.0,97.2654,76.5909,289128.0,74387.0,100.8393,2023,8
2023-09-01,12869.0,97.3037,76.5797,298229.0,74534.0,101.0211,2023,9
2023-10-01,12836.0,96.786,76.1299,285976.0,74163.0,100.4689,2023,10
2023-11-01,12858.0,97.2483,76.4498,298570.0,74284.0,100.8639,2023,11
2023-12-01,12865.0,97.2445,76.4022,304324.0,74073.0,100.6031,2023,12
2024-01-01,12866.0,95.7457,75.1799,280614.0,73668.0,99.2223,2024,1
2024-02-01,12853.0,96.9553,76.0838,282623.0,73969.0,100.285,2024,2
2024-03-01,12838.0,97.0896,76.1421,287423.0,73986.0,100.4575,2024,3
2024-04-01,12847.0,96.564,75.6821,286972.0,74040.0,100.2434,2024,4
2024-05-01,12849.0,97.1046,76.0561,286829.0,73137.0,100.863,2024,5
2024-06-01,12839.0,96.9264,75.865,281128.0,73544.0,100.894,2024,6
2024-07-01,12840.0,96.1663,75.2171,293234.0,73430.0,99.9757,2024,7
2024-08-01,12800.0,96.6244,75.5198,289926.0,73738.0,100.4309,2024,8
2024-09-01,12800.0,96.0864,75.0416,292469.0,74487.0,99.8084,2024,9
2024-10-01,12750.0,95.4449,74.4805,293266.0,73440.0,99.4695,2024,10
2024-11-01,12770.0,95.7246,74.6357,288340.0,74311.0,99.2925,2024,11
2024-12-01,12760.0,96.1524,74.9036,290559.0,74595.0,100.3273,2024,12
2025-01-01,12755.0,95.7673,74.536,291195.0,75971.0,100.0647,2025,1
2025-02-01,12763.0,96.9554,75.3898,293985.0,75561.0,101.0993,2025,2
2025-03-01,12764.0,97.3898,75.6543,316215.0,75781.0,101.0404,2025,3
2025-04-01,12764.0,97.3314,75.5341,295229.0,74631.0,101.1279,2025,4
2025-05-01,12753.0,97.2482,75.393,344069.0,76049.0,100.9655,2025,5
2025-06-01,12736.0,97.5794,75.5712,311761.0,75608.0,101.4785,2025,6
2025-07-01,12727.0,98.0693,75.8707,303032.0,76154.0,101.894,2025,7
2025-08-01,12716.0,98.0367,75.7649,312138.0,76806.0,101.5867,2025,8
2025-09-01,12711.0,98.1919,75.8034,314147.0,77591.0,101.7779,2025,9
2025-10-01,12702.0,97.6253,75.2842,307570.0,77948.0,101.5163,2025,10
2025-11-01,12700.0,97.978,75.4738,323764.0,78240.0,101.9528,2025,11
2025-12-01,12692.0,98.1787,75.5459,,,102.325,2025,12
