date,week,tranche,buyer,volume_mmbbl,status,source_url,buyer_site_allocation,quality_allocation,month,month_label
2026-04-17,2026-04-17,FY26 SPR Oil Release No. 1.b,BP Products North America,1.0,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-17,2026-04-17,FY26 SPR Oil Release No. 1.b,Energy Transfer Crude Marketing,1.1,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-17,2026-04-17,FY26 SPR Oil Release No. 1.b,ExxonMobil Oil Corporation,3.0,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-17,2026-04-17,FY26 SPR Oil Release No. 1.b,Macquarie Commodities Trading US,2.5,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-17,2026-04-17,FY26 SPR Oil Release No. 1.b,Marathon Petroleum Company,2.0,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-17,2026-04-17,FY26 SPR Oil Release No. 1.b,Shell Trading (US) Company,1.9,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-17,2026-04-17,FY26 SPR Oil Release No. 1.b,Trafigura Trading LLC,10.03,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-04-17,2026-04-17,FY26 SPR Oil Release No. 1.b,Vitol,3.5,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-04,Apr 2026
2026-05-11,2026-05-11,FY26 SPR Oil Release No. 2,Atlantic Trading & Marketing,1.7,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-05,May 2026
2026-05-11,2026-05-11,FY26 SPR Oil Release No. 2,BP Products North America,2.1,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-05,May 2026
2026-05-11,2026-05-11,FY26 SPR Oil Release No. 2,Energy Transfer Crude Marketing,1.05,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-05,May 2026
2026-05-11,2026-05-11,FY26 SPR Oil Release No. 2,ExxonMobil Oil Corporation,11.4,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-05,May 2026
2026-05-11,2026-05-11,FY26 SPR Oil Release No. 2,Macquarie Commodities Trading US,6.55,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-05,May 2026
2026-05-11,2026-05-11,FY26 SPR Oil Release No. 2,Marathon Petroleum Company,12.4,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-05,May 2026
2026-05-11,2026-05-11,FY26 SPR Oil Release No. 2,Mercuria Energy America,2.5,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-05,May 2026
2026-05-11,2026-05-11,FY26 SPR Oil Release No. 2,Phillips 66,2.65,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-05,May 2026
2026-05-11,2026-05-11,FY26 SPR Oil Release No. 2,Trafigura Trading LLC,12.98,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-05,May 2026
2026-06-22,2026-06-22,FY26 SPR Oil Release No. 3,Vitol Inc.,0.5,Awarded,https://www.spr.doe.gov/posting/EXCHANGE/FY26%20SPR%20Oil%20Release%20No.%203/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%203%20Award%20Information.pdf,Not published in DOE award information,Use RFP plan rows; buyer-level sweet/sour split is not published,2026-06,Jun 2026
