date,tranche,status,award_total_mmbbl,award_pdf_announced_up_to_mmbbl,source_url,buyer_count,posting_status,month,month_label
2026-03-20,FY26 SPR Oil Release No. 1,Awarded,45.22,86.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201%20Award%20Information.pdf,8,archive,2026-03,Mar 2026
2026-04-10,FY26 SPR Oil Release No. 1.a,Awarded,8.48,10.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.a/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.a%20Award%20Information.pdf,4,archive,2026-04,Apr 2026
2026-04-17,FY26 SPR Oil Release No. 1.b,Awarded,26.03,30.0,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%201.b/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%201.b%20Award%20Information.pdf,9,archive,2026-04,Apr 2026
2026-05-11,FY26 SPR Oil Release No. 2,Awarded,53.33,92.5,https://www.spr.doe.gov/posting/EXCHANGE/archive/FY26%20SPR%20Oil%20Release%20No.%202/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%202%20Award%20Information.pdf,9,archive,2026-05,May 2026
2026-06-22,FY26 SPR Oil Release No. 3,Awarded,0.5,40.0,https://www.spr.doe.gov/posting/EXCHANGE/FY26%20SPR%20Oil%20Release%20No.%203/1-Request%20for%20Proposal/FY26%20SPR%20Oil%20Release%20No.%203%20Award%20Information.pdf,1,current,2026-06,Jun 2026
